"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
1657,669022,"Gore, MacKenzie",1657,100,0.281,0.137,0.34,0.418,0.346,0.349,0.278,96,342,88.2,18.8,2309,96,97.14,201,890,767,1.0999999999999943,6.96,109,149,118,146,300,321,294,"-2.2","2.2","69.940189847","6.723569577"
1652,642547,"Peralta, Freddy",1652,100,0.239,0.184,0.293,0.424,0.331,0.335,0.239,83,347,89.5,19.9,2436,94.3,94.87,204,815,837,0.6000000000000085,6.7,111,149,121,148,303,322,297,"5.5","-5.5","68.703753869","6.595218497"
1531,607074,"Rodón, Carlos",1531,100,0.262,0.252,0.263,0.514,0.364,0.395,0.283,83,317,93,23.8,2383,95.4,94.88,174,814,717,-0.5,6.12,108,151,118,150,295,326,287,"5.4","-5.4","70.576657199","6.959609005"
1513,592332,"Gausman, Kevin",1513,100,0.277,0.19,0.306,0.466,0.346,0.387,0.293,99,358,92.7,21.3,2287,93.9,94.24,140,799,714,0.29999999999999716,6.6,112,148,115,149,292,320,296,"4.5","-4.5","70.410003902","6.832549841"
1416,668881,"Greene, Hunter",1416,100,0.184,0.089,0.255,0.273,0.262,0.285,0.196,56,304,89.5,20.4,2379,97.6,97.78,192,773,643,0.20000000000000284,6.47,114,147,121,149,296,322,292,"19.7","-19.7","69.532684053","6.714114869"
1388,656302,"Cease, Dylan",1388,100,0.235,0.154,0.276,0.39,0.331,0.357,0.25,64,272,89.8,17.6,2557,96.9,96.8,141,695,693,-0.10000000000000853,6.29,114,149,118,151,298,325,299,"-3","3","69.128940542","6.755981176"
1374,579328,"Kikuchi, Yusei",1374,100,0.274,0.231,0.324,0.505,0.348,0.334,0.259,77,281,90.4,20.2,2289,95.5,96.45,194,694,680,0.9000000000000057,6.98,106,150,115,146,298,321,290,"0.6","-0.6","69.771428513","6.706159171"
1368,571760,"Heaney, Andrew",1368,100,0.23,0.182,0.275,0.412,0.317,0.334,0.24,63,274,90.5,24.5,2401,91.5,91.45,135,634,734,-0.09999999999999432,6.49,110,151,118,148,301,325,297,"3.4","-3.4","70.037359003","6.731543147"
1347,684007,"Imanaga, Shota",1347,100,0.229,0.241,0.221,0.47,0.319,0.326,0.245,76,332,91.2,27.2,2442,91.7,91.47,129,739,608,-0.20000000000000284,6.29,111,152,116,151,301,322,290,"6.6","-6.6","70.840549854","6.878728603"
1341,669194,"Nelson, Ryne",1341,100,0.249,0.168,0.327,0.418,0.315,0.304,0.248,74,297,93.2,13.9,2216,95.2,96.1,137,704,637,0.8999999999999915,6.82,112,149,119,149,297,319,297,"6.6","-6.6","68.724091913","6.558807758"
1303,666142,"Ragans, Cole",1303,100,0.213,0.149,0.276,0.361,0.3,0.313,0.225,63,296,90.6,18.7,2553,95.4,94.99,153,661,642,-0.4000000000000057,6.13,110,150,117,148,304,324,293,"16","-16","70.074626318","6.810186628"
1299,554430,"Wheeler, Zack",1299,100,0.209,0.186,0.259,0.395,0.306,0.305,0.207,53,253,89.9,22.4,2431,95.3,96.92,201,679,620,1.6000000000000085,7.24,111,148,115,149,292,324,294,"16.4","-16.4","69.615722693","6.638757039"
1299,661563,"Gil, Luis",1299,100,0.205,0.19,0.265,0.395,0.318,0.314,0.21,54,263,91.2,21.2,2438,96.6,97.23,171,599,700,0.6000000000000085,6.73,113,149,117,151,291,325,289,"1.3","-1.3","68.930292011","6.783972837"
1296,622491,"Castillo, Luis",1296,100,0.203,0.162,0.268,0.365,0.278,0.289,0.207,55,271,91,30.5,2153,95.6,93.89,183,671,625,-1.6999999999999886,5.34,112,149,117,147,293,320,293,"18.1","-18.1","70.130437677","6.782582125"
1287,676979,"Crochet, Garrett",1287,100,0.198,0.097,0.293,0.295,0.257,0.274,0.204,53,268,88,16,2500,97.2,98.4,214,682,605,1.2000000000000028,7.06,108,150,116,148,298,323,293,"15.5","-15.5","68.6285195","6.670217919"
1259,641482,"Cortes, Nestor",1259,100,0.235,0.208,0.268,0.443,0.316,0.317,0.231,60,255,92.6,25.9,2309,92.1,91.33,138,642,617,-0.7999999999999972,5.93,110,151,117,150,292,325,286,"6.8","-6.8","70.392800122","6.919581163"
1249,671096,"Abbott, Andrew",1249,100,0.254,0.198,0.273,0.451,0.355,0.369,0.27,68,268,90.8,14.6,2254,92.8,93.35,113,583,666,0.6000000000000085,6.63,110,148,119,148,299,322,286,"1.4","-1.4","69.220488932","6.7261793"
1237,676440,"Bibee, Tanner",1237,100,0.282,0.194,0.319,0.476,0.344,0.345,0.288,77,273,90.6,16.2,2361,94.6,95.31,137,644,593,0.7000000000000028,6.63,114,149,122,150,298,320,299,"-10.4","10.4","69.162097295","6.600756945"
1218,657006,"Steele, Justin",1218,100,0.253,0.142,0.31,0.396,0.319,0.293,0.236,73,288,86.8,14,2419,91.6,91.95,139,629,589,0.30000000000001137,6.35,108,151,117,149,304,325,291,"4.6","-4.6","69.767362117","6.699036971"
1217,641154,"López, Pablo",1217,100,0.208,0.144,0.251,0.352,0.271,0.315,0.246,55,264,90.2,18.5,2205,95,96.64,171,660,557,1.5999999999999943,7.14,111,148,117,150,296,324,296,"15.1","-15.1","69.45132671","6.619585316"
1198,690986,"Harrison, Kyle",1198,100,0.249,0.175,0.305,0.425,0.328,0.328,0.242,71,285,91.7,18.1,2203,92.5,93.15,136,591,607,0.5999999999999943,6.75,108,149,122,148,296,321,293,"7.3","-7.3","69.413886813","6.721222802"
1168,680730,"Parker, Mitchell",1168,100,0.276,0.15,0.3,0.425,0.329,0.358,0.282,83,301,90.4,20.7,2191,92.5,93.41,75,626,542,0.9000000000000057,6.81,109,149,117,146,303,326,296,"-10.6","10.6","70.086406172","6.832425413"
1164,625643,"López, Reynaldo",1164,100,0.266,0.103,0.332,0.369,0.316,0.334,0.265,67,252,91.4,15.5,2073,95.5,95.95,96,582,582,0.4000000000000057,6.53,115,150,120,150,297,323,296,"19.1","-19.1","69.682524283","6.719765943"
1162,682243,"Miller, Bryce",1162,100,0.184,0.164,0.207,0.348,0.261,0.325,0.229,46,250,92.3,28.3,2484,95.2,95.11,172,650,512,-0.10000000000000853,6.31,114,149,115,149,291,320,293,"13.9","-13.9","70.396020227","6.890446424"
